Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/03/2013","11 Woodlands Green, Arklow","","Wicklow","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","117 St. Jarlath Road, Cabra","","Dublin","€86,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","12 Gortamullen, Kenmare","","Kerry","€108,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","12 Mill Falls, Collooney","","Sligo","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","12 Willowcliff, Ballina, Killaloe","","Clare","€199,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","14 Cathedral View, Mullingar","","Westmeath","€23,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","15 Cathedral View, Mullingar","","Westmeath","€23,760.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","15 Onward Close, Portmarnock","","Dublin","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","157 Dun na Coiribe, Headford Road","","Galway","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","16 Gleann Dara, Ballygarvan","","Cork","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","18 Castlerock Woods, Castleconnell","","Limerick","€101,321.59","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","18 Woodlands Manor, Ramsford Park, Gorey","","Wexford","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","188 le fanu road, ballyfermot, dublin 10","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","2 Bayview, Church Hill, Passage West","","Cork","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","2 Cois Tra, Kilbush Lane, Rush","","Dublin","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","2 Killarney Parade, Phibsboro","","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
